"symbol"	"Chr"	"start"	"end"	"id"
"136"	"DFFB"	"1"	3857266	3885429	1677
"858"	"ICMT"	"1"	6221192	6235984	23463
"612"	"KLHL21"	"1"	6590723	6602898	9903
"459"	"CLSTN1"	"1"	9729020	9824526	22883
"209"	"DFFA"	"1"	10460545	10472556	1676
"793"	"SPEN"	"1"	15847863	15940455	23013
"293"	"SDHB"	"1"	17018725	17054170	6390
"110"	"AKR7A2"	"1"	19302707	19312146	8574
"756"	"RAP1GAP"	"1"	21596214	21651855	5909
"103"	"CDC42"	"1"	22052626	22090803	998
"693"	"EPHB2"	"1"	22710837	22921500	2048
"8"	"E2F2"	"1"	23506427	23531220	1870
"908"	"GALE"	"1"	23795598	23800804	2582
"270"	"CLIC4"	"1"	24745268	24844324	25932
"447"	"TMEM50A"	"1"	25338297	25362361	23585
"907"	"STMN1"	"1"	25884185	25906502	3925
"562"	"DHDDS"	"1"	26432281	26471304	79947
"530"	"RPS6KA1"	"1"	26543111	26575029	6195
"933"	"SFN"	"1"	26863141	26864456	2810
"211"	"WDTC1"	"1"	27234515	27308633	23038
"805"	"RPA2"	"1"	27891525	27914797	6118
"251"	"TXLNA"	"1"	32179743	32198285	200081
"27"	"TRAPPC3"	"1"	36136568	36149514	27095
"727"	"MYCBP"	"1"	38862489	38873378	26292
"438"	"MACF1"	"1"	39084166	39487138	23499
"838"	"PPIE"	"1"	39738844	39763914	10450
"168"	"FOXJ3"	"1"	42176538	42335215	22887
"597"	"EBNA1BP2"	"1"	43164173	43172570	10969
"201"	"CDC20"	"1"	43358954	43363202	991
"910"	"PTPRF"	"1"	43526036	43623672	5792
"572"	"IPO13"	"1"	43946805	43968022	9670
"76"	"DPH2"	"1"	43969980	43973371	1802
"744"	"ATP6V0B"	"1"	43974647	43978300	533
"543"	"KIF2C"	"1"	44739817	44767766	11004
"561"	"MAST2"	"1"	45803606	46036124	23139
"829"	"PIK3R3"	"1"	46040139	46133036	8503
"526"	"LRRC41"	"1"	46278399	46303366	10489
"826"	"MKNK1"	"1"	46557406	46604294	8569
"227"	"EFCAB14"	"1"	46675158	46719064	9813
"713"	"ORC1"	"1"	52372828	52404471	4998
"573"	"SCP2"	"1"	52927228	53051617	6342
"444"	"JUN"	"1"	58780790	58784113	3725
"325"	"USP1"	"1"	62436711	62451804	7398
"912"	"PGM1"	"1"	63593808	63660246	5236
"394"	"GADD45A"	"1"	67685176	67688338	1647
"816"	"CRYZ"	"1"	74705487	74733408	1429
"249"	"HS2ST1"	"1"	86914651	87109998	9653
"218"	"FAM69A"	"1"	92832728	92961522	388650
"751"	"MTF2"	"1"	93079234	93139081	22823
"672"	"DNTTIP2"	"1"	93869457	93879206	30836
"194"	"SNX7"	"1"	98661679	98760500	51375
"678"	"AGL"	"1"	99850488	99924023	178
"389"	"SLC35A3"	"1"	99970435	100026978	23443
"809"	"VAV3"	"1"	107571159	107688504	10451
"426"	"PSRC1"	"1"	109279553	109283168	84722
"14"	"GSTM2"	"1"	109668021	109683997	2946
"798"	"DENND2D"	"1"	111185968	111200703	79961
"595"	"NRAS"	"1"	114704463	114716894	4893
"628"	"CD58"	"1"	116514533	116571093	965
"920"	"PHGDH"	"1"	119711795	119744226	26227
"369"	"HIST2H2BE"	"1"	149884459	149886682	8349
"396"	"MINDY1"	"1"	150996824	151008378	55793
"343"	"PRUNE1"	"1"	151008390	151035713	58497
"973"	"MLLT11"	"1"	151059674	151068497	10962
"457"	"VPS72"	"1"	151176299	151190213	6944
"59"	"PSMD4"	"1"	151254699	151267478	5710
"935"	"RFX5"	"1"	151340639	151347293	5993
"370"	"S100A4"	"1"	153543618	153545806	6275
"885"	"S100A13"	"1"	153618799	153628239	6284
"606"	"INTS3"	"1"	153728066	153774808	65123
"673"	"SLC27A3"	"1"	153774353	153780160	11000
"319"	"SHC1"	"1"	154962297	154974483	6464
"556"	"MUC1"	"1"	155185823	155192915	4582
"301"	"KIAA0907"	"1"	155913042	155934442	22889
"704"	"ARHGEF2"	"1"	155946838	155978175	9181
"490"	"NIT1"	"1"	161118071	161121194	4817
"344"	"PPOX"	"1"	161166390	161171220	5498
"336"	"ATF6"	"1"	161766243	161964070	22926
"891"	"TMCO1"	"1"	165724290	165768922	54499
